step,deepseek1.5b_sync_8gpu_lr3e-6-actor/lr_step,deepseek1.5b_sync_8gpu_clip0.1_lr1e-5-actor/lr_step,deepseek1.5b_fa_partial_8gpu_cosine_lr1e-5-actor/lr_step,deepseek1.5b_sync_8gpu_cosine_lr1e-5-actor/lr_step,deepseek1.5b_fa_partial_8gpu_lr5e-6-actor/lr_step,deepseek1.5b_sync_8gpu_lr5e-6-actor/lr_step,deepseek1.5b_fa_partial_8gpu_ent0.01_lr1e-5-actor/lr_step,deepseek1.5b_sync_8gpu_ent0.01_lr1e-5-actor/lr_step,deepseek1.5b_fa_partial_lr1e-6-actor/lr_step,deepseek1.5b_fa_partial_lr1e-5-actor/lr_step,deepseek1.5b_sync_lr1e-5-actor/lr_step,deepseek1.5b_sync_lr1e-6-actor/lr_step
116,3e-06,1e-05,0,7.099445507801324e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
117,3e-06,1e-05,1e-05,7.050164102607081e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
118,3e-06,1e-05,0,7.000642101565434e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
119,3e-06,1e-05,1e-05,6.950885316302772e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
120,3e-06,1e-05,0,6.90089958599846e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
121,3e-06,1e-05,1e-05,6.850690776699574e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
122,3e-06,1e-05,0,6.800264780632494e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
123,3e-06,1e-05,1e-05,6.749627515511442e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
124,3e-06,1e-05,0,6.698784923843993e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
125,3e-06,1e-05,1e-05,6.647742972233703e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
126,3e-06,1e-05,0,6.5965076506799e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
127,3e-06,1e-05,1e-05,6.545084971874738e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
128,3e-06,1e-05,0,6.493480970497569e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
129,3e-06,1e-05,1e-05,6.4417017025067545e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
130,3e-06,1e-05,0,6.389753244428973e-06,4.9999999999999996e-06,4.9999999999999996e-06,1e-05,1e-05,1e-06,1e-05,1e-05,1e-06
