step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_alpha_shuffled_seed1-actor/g_rms_ema_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_alpha_shuffled_seed0-actor/g_rms_ema_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_alpha_shuffled_seed42-actor/g_rms_ema_step,deepseek1.5b_sync_8gpu_matched_alpha_3.10e-6_seed1-actor/g_rms_ema_step,deepseek1.5b_sync_8gpu_matched_alpha_3.10e-6_seed0-actor/g_rms_ema_step,deepseek1.5b_sync_8gpu_matched_alpha_3.10e-6_seed42-actor/g_rms_ema_step
101,9.677570867504062e-07,9.531580863513076e-07,1.079535219706023e-06,1.0023157172165256e-06,9.755323199099538e-07,9.786855858452097e-07
102,9.683012191329302e-07,9.531214807486431e-07,1.079574538729737e-06,9.9801664396212e-07,9.789409264295273e-07,9.794880433589309e-07
103,9.670164500731953e-07,9.506307912532468e-07,1.0759535080176213e-06,9.953456135448419e-07,9.764124378871874e-07,9.781163260120371e-07
104,9.61508613972973e-07,9.537126805008408e-07,1.0760315944588204e-06,9.924060275821367e-07,9.759814759037652e-07,9.827631805097978e-07
105,9.62130320539477e-07,9.533538301538479e-07,1.0856179140554508e-06,9.91839932647998e-07,9.74678061494247e-07,9.846666091612782e-07
106,9.599527654978144e-07,9.532263956962695e-07,1.0837808550877929e-06,9.8857722020275e-07,9.719024133469118e-07,9.842562546279222e-07
107,9.608594571658651e-07,9.538466117079117e-07,1.0833828885954231e-06,9.91507828541576e-07,9.706580022096326e-07,9.826897310359704e-07
108,9.595179260873466e-07,9.538708441709524e-07,1.0810115677201163e-06,9.846731884943649e-07,9.683524211223853e-07,9.774697315442449e-07
109,9.583901719507956e-07,9.533227919091631e-07,1.078453741712259e-06,9.832540197111362e-07,9.659609797519964e-07,9.755308728869718e-07
110,9.59594663752472e-07,9.52894070148163e-07,1.07814649384609e-06,9.788558210984424e-07,9.71934638333374e-07,9.73799248811984e-07
111,9.56438788803185e-07,9.505034482394455e-07,1.0775257621752248e-06,9.805313132310708e-07,9.726584817317912e-07,9.74905510310918e-07
112,9.576826095055837e-07,9.526721126661719e-07,1.0740933506634244e-06,9.833561034641322e-07,9.7394794979234e-07,9.74695560843852e-07
113,9.590378409260964e-07,9.54069261988652e-07,1.0698385054041359e-06,9.809743678541939e-07,9.769729655908305e-07,9.730243808038482e-07
114,9.580600619438686e-07,9.531866157415731e-07,1.0682726296080904e-06,9.796727394230265e-07,9.759020417724823e-07,9.74533897426716e-07
115,9.582408222785909e-07,9.518642313713131e-07,1.0674416889347042e-06,9.807360221215033e-07,9.75341520677661e-07,9.749882018734348e-07
116,9.58286162316674e-07,9.525897991232213e-07,1.0625484927057785e-06,9.83002841525617e-07,9.787989847507748e-07,9.742800961589444e-07
117,9.518508483797944e-07,9.536007088474832e-07,1.0587743661062562e-06,9.796409824194434e-07,9.814588091205262e-07,9.761840105643618e-07
118,9.514572276611923e-07,9.507493125237899e-07,1.0596830787495274e-06,9.814064912032409e-07,9.810328183434152e-07,9.784209260106734e-07
119,9.504026457451928e-07,9.492455670024436e-07,1.0594401828182468e-06,9.796650239184655e-07,9.838725545926766e-07,9.798819415102113e-07
120,9.505447168619738e-07,9.48486297261911e-07,1.061161914331569e-06,9.743223558795957e-07,9.842577258627809e-07,9.813872685535822e-07
121,9.489933458594033e-07,9.482686591403527e-07,1.060787890089975e-06,9.708985819242569e-07,9.850250335492856e-07,9.79675041588192e-07
122,9.482638438237144e-07,9.47614506000016e-07,1.058661938048326e-06,9.696303907034955e-07,9.819896351326912e-07,9.772202039685145e-07
123,9.486056338684814e-07,9.45239340518448e-07,1.0544776177221937e-06,9.716072970063123e-07,9.789390026864839e-07,9.781354069031062e-07
