step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_seed1-actor/parameter_delta_norm_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5_seed0-actor/parameter_delta_norm_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_seed0-actor/parameter_delta_norm_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6_seed0-actor/parameter_delta_norm_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5_seed1-actor/parameter_delta_norm_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6_seed1-actor/parameter_delta_norm_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6-actor/parameter_delta_norm_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5-actor/parameter_delta_norm_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5-actor/parameter_delta_norm_step
79,1.479178263252834e-05,6.970576123421779e-06,8.979048288892955e-06,1.1301563972665464e-05,1.3884357031201944e-05,1.1064456884923857e-05,1.1113314030808397e-05,1.3882717212254647e-05,9.288113687944133e-06
80,1.776293538569007e-05,6.931691132194828e-06,9.02239389688475e-06,1.1259221537329722e-05,6.899684194650035e-06,1.0920335625996811e-05,1.1173979146406054e-05,6.977348675718531e-06,9.385700650454964e-06
81,9.25712720345473e-06,1.3832792319590226e-05,9.135570508078672e-06,1.1191231351403983e-05,1.3925479834142608e-05,1.0879650290007705e-05,1.1170453944941984e-05,1.404376689606579e-05,9.449971912545152e-06
82,9.21717582968995e-06,1.382104164804332e-05,9.132188097282778e-06,1.102530222851783e-05,6.894267244206276e-06,1.089394118025666e-05,1.118120417231694e-05,1.4101194210525136e-05,9.459072316531092e-06
83,9.233265700459016e-06,1.385843916068552e-05,9.135240361501928e-06,1.1043690392398275e-05,6.941446372366045e-06,1.0865634976653382e-05,1.1252770491410049e-05,1.3970227882964537e-05,9.440131179871967e-06
84,9.233835953637026e-06,6.911096079420531e-06,9.04304670257261e-06,1.0973380994983016e-05,6.931752977834549e-06,1.091983085643733e-05,1.12167863335344e-05,7.021125384198967e-06,9.303720617026556e-06
85,1.0037243555416351e-05,6.86785551806679e-06,8.986592547444161e-06,1.1051534784201069e-05,1.3843033229932187e-05,1.08516387626878e-05,1.1113663276773876e-05,1.404799877491314e-05,9.172775207844095e-06
86,9.340259566670284e-06,6.868503533041803e-06,8.900980901671574e-06,1.0988183021254372e-05,1.3926185602031182e-05,1.0883412869588938e-05,1.1086101039836647e-05,1.403189162374474e-05,1.1629317668848673e-05
87,1.3104572644806469e-05,1.3761838999926113e-05,9.207753464579582e-06,1.0957450285786765e-05,1.3820566891808994e-05,1.0872689927055036e-05,1.1096164598711766e-05,1.3862893865734804e-05,1.2277060704946052e-05
88,1.3029274668951984e-05,6.866986950626597e-06,9.270560440199915e-06,1.1052631634811403e-05,1.3812917131872382e-05,1.0881255548156332e-05,1.1120695489807986e-05,6.931793905096129e-06,1.4792736692470498e-05
89,1.437428090866888e-05,1.3767613381787667e-05,1.3332390153664164e-05,1.0986910638166592e-05,1.3715552995563485e-05,1.0741789992607664e-05,1.1010362868546508e-05,1.362656803394202e-05,1.4811562323302496e-05
90,1.4494619790639264e-05,1.3587427019956522e-05,1.3196878171584103e-05,1.1020431884389836e-05,6.9399411586346105e-06,1.0866951015486848e-05,1.1031372196157465e-05,6.702955943183042e-06,9.06011428014608e-06
91,1.2835066627303604e-05,1.3567861969931982e-05,1.3254360965220258e-05,1.0993106116075069e-05,6.992469025135506e-06,1.092594629881205e-05,1.1038570846721996e-05,6.828070581832435e-06,9.297842552768998e-06
92,9.751913239597345e-06,6.756149559805635e-06,1.3352464520721696e-05,1.1017597898899112e-05,1.3904326806368772e-05,1.087977125280304e-05,1.0946785550913772e-05,1.342819450655952e-05,1.2638884982152376e-05
93,1.3595727978099603e-05,1.3567683708970437e-05,1.347003399132518e-05,1.101750967791304e-05,6.965634383959696e-06,1.0902044778049458e-05,1.0925969945674296e-05,6.7418177422950976e-06,1.311789583269274e-05
94,9.14124757400714e-06,1.3796670828014612e-05,1.4503149941447193e-05,1.1099108633061404e-05,7.025515060377074e-06,1.0908700460277032e-05,1.0866755474125966e-05,1.3444422620523255e-05,1.3101519471092615e-05
95,1.0388755981693976e-05,1.38833602250088e-05,8.94948243512772e-06,1.1128886399092153e-05,1.3896235032007098e-05,1.0888938049902208e-05,1.092784441425465e-05,1.3571730960393324e-05,1.3275970559334382e-05
96,1.0895141713263e-05,6.904427664267132e-06,1.1151967555633746e-05,1.1092265594925266e-05,1.3745193427894264e-05,1.0773518624773716e-05,1.0906290299317334e-05,1.3469330042426009e-05,1.3197878615756052e-05
97,1.0881503840209916e-05,1.36874496092787e-05,1.0720210411818698e-05,1.1002890460076742e-05,1.3810252312396187e-05,1.0786528946482576e-05,,,1.3162269169697538e-05
98,1.2921134839416482e-05,6.8781869231315795e-06,1.0920006388914771e-05,1.1142304174427409e-05,1.4033895240572749e-05,1.0790570740937255e-05,,,1.3370633496379014e-05
99,1.302390137425391e-05,6.8891336013621185e-06,1.0971461961162277e-05,1.1164687748532742e-05,1.3956827388028614e-05,1.0862593626370654e-05,,,1.672400139796082e-05
100,1.315792542300187e-05,6.843079063401092e-06,1.0853589628823102e-05,1.1060094948334154e-05,6.888414191053016e-06,1.095291918318253e-05,1.1143853043904528e-05,6.7390783442533575e-06,1.6987882190733217e-05
101,1.5146903933782596e-05,1.36069611471612e-05,1.1598312994465232e-05,1.0941509572148789e-05,6.9318944042606745e-06,1.109368349716533e-05,1.1067103514506016e-05,6.739287073287414e-06,1.6837861039675772e-05
102,1.4907782315276563e-05,1.3702944670512808e-05,1.324907771049766e-05,1.0874435247387735e-05,6.877590749354567e-06,1.08919603007962e-05,1.1051960427721497e-05,6.817082976340316e-06,1.6800737284938805e-05
103,9.808777576836292e-06,6.84893120705965e-06,1.3170172678655945e-05,1.0854614629352e-05,1.372758015349973e-05,1.078260083886562e-05,1.0975113582389897e-05,1.355308722850168e-05,1.679289562162012e-05
104,1.2160357982793356e-05,1.371290363749722e-05,1.251027970283758e-05,1.0861689588637091e-05,1.36563103296794e-05,1.0740011020970996e-05,1.0870324331335723e-05,1.3741862858296372e-05,1.6965001123026013e-05
105,1.2351010809652507e-05,6.85135773892398e-06,1.5682566299801692e-05,1.0891369129240047e-05,6.8925219238735735e-06,1.0826027391885871e-05,1.1025442290701903e-05,1.3947229490440805e-05,1.7028592992573977e-05
