step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_seed1-actor/g_rms_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5_seed0-actor/g_rms_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5_seed0-actor/g_rms_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6_seed0-actor/g_rms_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5_seed1-actor/g_rms_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6_seed1-actor/g_rms_step,deepseek1.5b_sync_8gpu_matched_alpha_2.97e-6-actor/g_rms_step,deepseek1.5b_sync_8gpu_sign_gate_meanmatch_gamma0.5-actor/g_rms_step,deepseek1.5b_sync_8gpu_sigfrac_cfixed_lr1.25e-5-actor/g_rms_step
67,9.721231437651602e-07,9.658940937846024e-07,1.0216581549440442e-06,9.781581416761416e-07,1.0532742291621712e-06,1.0132403554789254e-06,9.931541948399326e-07,9.86510155998227e-07,9.470177951716445e-07
68,9.98094187821742e-07,1.0326044258184337e-06,8.734104007464314e-07,9.11039105705246e-07,1.0169927292281815e-06,9.664640935157968e-07,1.011382225033178e-06,1.0146949176117057e-06,9.655353790497401e-07
69,9.295859791532611e-07,9.95085125930976e-07,9.777622401866965e-07,9.78456655984473e-07,9.805643308650332e-07,9.47559164721456e-07,9.710230958743213e-07,9.768934688569089e-07,9.192360735559575e-07
70,1.0203384572243742e-06,9.221887346347621e-07,9.59071968161807e-07,9.593935814694032e-07,1.0596998764399508e-06,1.0006532000516176e-06,9.84813554939146e-07,9.58260896894047e-07,9.785865768145321e-07
71,1.0811928403310546e-06,1.070687624871008e-06,1.008284648728978e-06,9.92054955572693e-07,1.0068745995509957e-06,1.017434684806223e-06,9.046666509612451e-07,9.469876701508832e-07,9.52818939840469e-07
72,1.0940510253291455e-06,9.720256298264762e-07,9.622206476530079e-07,1.0189133121875584e-06,1.05027248588377e-06,9.874194385576175e-07,9.765025061006058e-07,9.932820880047319e-07,9.18034561197738e-07
73,9.358492534205965e-07,1.009544434251456e-06,9.508418145677355e-07,1.0099025739615363e-06,9.996874984296372e-07,1.0133812954874756e-06,1.0481877051112679e-06,1.0474458502475854e-06,1.0420565867315023e-06
74,1.0259742382271333e-06,9.376427333274592e-07,9.91355713718869e-07,8.909497478942477e-07,1.0962122252263145e-06,1.017349023491516e-06,9.510414456399568e-07,9.8074503696707e-07,9.398788389690245e-07
75,9.348869901038981e-07,9.663006668193746e-07,9.664253161133331e-07,9.843958850992766e-07,1.036936288138065e-06,9.491075860967017e-07,1.0187823916818402e-06,1.0382670714569264e-06,9.902859950536195e-07
76,9.684682524543376e-07,9.806911358352354e-07,9.921824160461165e-07,9.266588906558981e-07,9.845981469086623e-07,9.81828339776437e-07,1.0374683900830102e-06,1.0577430204051416e-06,9.89279266095877e-07
77,9.363960522886264e-07,9.67277587995263e-07,9.822768926568776e-07,9.816821828050887e-07,9.386746510735486e-07,9.348301817554477e-07,9.29931333968793e-07,9.71541326146295e-07,9.181742452334555e-07
78,1.0399535983464649e-06,9.040611569202265e-07,9.843293188056676e-07,1.0226049865361103e-06,9.635691381286919e-07,1.0032305105367888e-06,8.84504087424332e-07,9.343441981809e-07,9.939529679356899e-07
79,1.0794245667434645e-06,9.984169405095425e-07,1.0362725331964847e-06,9.876478321916386e-07,1.015405362202977e-06,1.0320701883058165e-06,1.024929022321136e-06,1.0477716495278312e-06,1.004377286516558e-06
80,1.007560368343323e-06,9.642158722338406e-07,1.0310252691021084e-06,9.485831285103189e-07,9.519655045254192e-07,9.232051192880481e-07,1.0197869479021588e-06,9.898876331575362e-07,1.0420696676890845e-06
81,9.445178822223622e-07,9.83217631696076e-07,1.036509668501691e-06,9.407688378266023e-07,1.0390317286254689e-06,9.53590197412603e-07,9.746628709911295e-07,1.033357108184613e-06,1.015101911597668e-06
82,9.540026904168202e-07,9.485536499116106e-07,9.906642373812219e-07,9.685122549613268e-07,9.479303306662094e-07,1.005236030480092e-06,1.0390264264559359e-06,1.0248233185893304e-06,1.0153528241383584e-06
83,9.834006269468212e-07,9.911559478623269e-07,1.0036697384053198e-06,1.0183299936087445e-06,9.955801609379495e-07,9.499651638188404e-07,1.0290859234961666e-06,9.524969221055411e-07,9.642979431130288e-07
84,9.547038714496992e-07,9.531786630809348e-07,9.223094694210708e-07,9.707998252861809e-07,9.89111641667127e-07,9.80141144784887e-07,9.996087716809127e-07,9.825251770237244e-07,9.169070816728648e-07
85,9.75107225414766e-07,9.712112584879599e-07,9.598293758670954e-07,1.042988914011347e-06,9.58204136912919e-07,9.412152818378892e-07,9.36941152094994e-07,9.679009075993915e-07,9.356172684627108e-07
86,1.013455629386822e-06,9.570032768594442e-07,9.179021724170507e-07,9.712650700572391e-07,9.900252167943048e-07,9.731008680400594e-07,9.759402143599653e-07,1.0439034430964738e-06,9.468995549202963e-07
87,1.0320134009274692e-06,9.745246831997522e-07,9.89681019258078e-07,9.430597909846316e-07,1.0078173710512206e-06,9.712476446839462e-07,9.5754076564447e-07,9.887313844972603e-07,9.27388417329344e-07
88,9.514066815564191e-07,9.652745078631027e-07,1.0241663163968433e-06,1.0457789146885465e-06,9.958314345210042e-07,9.8346326540454e-07,1.040214795613868e-06,9.905623662275852e-07,9.589945369208738e-07
89,9.05050494913954e-07,9.9916135106257e-07,1.0098112831146065e-06,9.538690177084143e-07,9.490824257628485e-07,8.905254184861885e-07,8.881669463744611e-07,9.114564450165515e-07,9.518956745460867e-07
90,1.0138453927852909e-06,9.214334263390014e-07,8.845310411110364e-07,9.835923366472985e-07,1.0213963130072103e-06,1.052998098280474e-06,9.470986398108079e-07,9.0270357948196e-07,9.095030763533757e-07
91,9.813019267608535e-07,9.61958481294616e-07,9.610455167483419e-07,9.80001424575102e-07,1.0134534835952042e-06,9.877247367113108e-07,9.77417350376562e-07,1.024379533987466e-06,9.449698070298415e-07
92,9.594822547465171e-07,9.039778412576268e-07,9.921141666569091e-07,9.558643292013824e-07,9.601321880648622e-07,9.820987753651557e-07,1.0292552106801539e-06,9.064778063580447e-07,8.660802411402773e-07
93,9.387335608663229e-07,9.644925639977735e-07,9.852908812095909e-07,9.732361933548733e-07,9.737377316625804e-07,9.917452938599314e-07,9.651931408759369e-07,1.000174552177238e-06,9.565510501587149e-07
94,9.849359237593988e-07,1.0687271648195024e-06,1.0074053546091508e-06,1.0037826281913468e-06,9.971143134641782e-07,9.766039996509771e-07,9.505585807573812e-07,9.339173881210268e-07,9.412990117259172e-07
95,9.218481589765119e-07,1.0265232653169765e-06,9.533392607440559e-07,9.99121293275666e-07,9.530431979471911e-07,9.267186891312832e-07,1.0134728699582364e-06,1.044624930560929e-06,9.960648044365723e-07
96,9.373944157160432e-07,9.398224733073124e-07,9.762694765802672e-07,9.493892218444525e-07,9.767394387769639e-07,9.02023340749748e-07,9.825494235252089e-07,9.932562723437432e-07,9.048738863800291e-07
97,9.729394487135518e-07,9.527434594138968e-07,9.396491880327703e-07,9.93789226861022e-07,9.691646300755689e-07,9.259102513519932e-07,,,9.332876981897617e-07
98,9.93158775508359e-07,9.747295846229043e-07,1.0036934798286856e-06,1.0294515297979932e-06,1.0356941076315901e-06,9.591598271390582e-07,,,9.773270307953277e-07
99,1.01525233772349e-06,9.653512364726048e-07,1.007061099926139e-06,9.90176047060855e-07,1.0106913001451549e-06,9.748175598440546e-07,,,9.662529078650065e-07
100,1.0003341056092953e-06,9.766262307434924e-07,8.928197500762453e-07,9.499999562848932e-07,9.532776675860404e-07,9.995057508342006e-07,9.82651229453366e-07,9.811053164383845e-07,9.296493191375255e-07
101,9.84494996624354e-07,9.530043660304251e-07,1.0090968063139865e-06,9.435852620360048e-07,9.8544809220538e-07,1.0119083513192767e-06,9.455503555026533e-07,9.505567720913948e-07,8.854804953154326e-07
102,9.013954243177855e-07,1.0532234186321502e-06,1.0125022534901014e-06,9.373521454101883e-07,9.208643361327483e-07,9.33427211759378e-07,9.766067231711792e-07,1.006846522995733e-06,8.923542688637386e-07
103,9.283431655668428e-07,9.436518917856707e-07,9.70268003307134e-07,1.0104537633076568e-06,9.779028199205475e-07,9.348861081095082e-07,9.512739820902508e-07,9.435765226307042e-07,9.30398710269824e-07
104,9.293002938470477e-07,9.476314604248084e-07,9.614247454979803e-07,9.952463332194443e-07,9.122753205082764e-07,9.198182382836572e-07,9.805501728386565e-07,1.0732239709149384e-06,9.420242827453602e-07
105,9.90227788688963e-07,9.507692209183568e-07,1.0334080717635401e-06,9.92719382338729e-07,9.64913236640519e-07,9.853441900124814e-07,1.0165048434004789e-06,1.075889380796143e-06,9.639092718930773e-07
106,9.181504383157951e-07,9.930039942119496e-07,9.59862161908546e-07,9.519251131823743e-07,1.011503400205047e-06,8.762251414161601e-07,1.0032770623281357e-06,9.683675971278312e-07,8.508966359742103e-07
107,1.009929363651279e-06,9.269652058007534e-07,1.0388150378120892e-06,8.811538983973674e-07,9.81827302859158e-07,1.018276173471256e-06,9.408512828346906e-07,9.318284961919108e-07,8.640940116280953e-07
108,9.231864782993821e-07,9.224287337718573e-07,9.471336644329511e-07,9.410033052946623e-07,9.102621504865864e-07,9.31964928171358e-07,9.0910085559433e-07,9.408553770931273e-07,8.642320963775681e-07
109,9.151481948376355e-07,9.087938474031094e-07,9.040404282104368e-07,9.343211975364994e-07,9.903231493496422e-07,9.543640688614478e-07,9.73565272746217e-07,9.386801034813711e-07,8.729938646939409e-07
110,9.489219752764114e-07,9.406301838169792e-07,9.683663379064158e-07,1.0202882003779558e-06,9.508836727018828e-07,9.630518654812269e-07,8.910740665184341e-07,8.847093045592579e-07,8.790191728132803e-07
111,9.526453537315367e-07,9.762044464362123e-07,9.643339155648436e-07,1.0242179830618666e-06,9.466221407387219e-07,9.666773081533763e-07,9.009141150874584e-07,9.733239633486422e-07,9.528197296258101e-07
112,9.3928907087077e-07,9.7879274095955e-07,9.389738447560251e-07,9.707711402977842e-07,1.0136332975328402e-06,9.268637568309891e-07,9.76764318121381e-07,9.320318879368861e-07,8.49062939784631e-07
